,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
167,7.047370473,7.047434116,6.964928138,6.955097803,6.97681029,6.942403755,7.046776946,Inf,6.540888143,6.540888143,6.540888143,4.119165691,4.898084816,4.898084816,2.501944477,2.501944477,4.960530765,2.22104206,12,Inf,30.47505409,6.59733087,6.59733087,6.59733087,5.047689292,4.348098543
168,-13.71363756,-13.71363658,-13.71032289,-13.71032085,-13.71032452,-13.70787971,-13.71364645,-Inf,-13.0178362,-13.0178362,-13.0178362,-10.60295962,-11.4796667,-11.4796667,-9.070823152,-9.070823152,-11.53543259,-5.748189569,-12,#NAME?,#NAME?,-11.03726784,-11.03726784,-11.03726784,-11.56826112,24.84075033
169,1.181927272,1.169098067,0.341655738,0.341420045,0.341426575,0.340878571,1.173272683,Inf,0.653422117,0.653422117,0.653422117,0.110755641,0.432119496,0.432119496,0.051607526,0.051607526,0.398357327,0.118987175,12,Inf,0,2.105228904,2.105228904,2.105228904,0.418805918,0.3160685
170,-11.35485706,-11.35485809,-10.66972403,-10.67994837,-10.65558887,-10.69282544,-11.3549534,-Inf,-10.65273129,-10.65273129,-10.65273129,-6.715144023,-7.732334153,-7.732334153,-5.377571424,-5.377571424,-7.652333743,-3.502070187,-12,#NAME?,#NAME?,-9.3956439,-9.3956439,-9.3956439,-9.212130302,3.164017731
171,11.58087719,11.58088373,11.58604429,11.59449896,11.5808977,11.60434545,11.58078572,Inf,11.1032632,11.1032632,11.1032632,8.511691475,9.552097142,9.552097142,6.884091537,6.884091537,9.643580033,4.150666279,12,Inf,35.30300813,9.748386595,9.748386595,9.748386595,9.615679732,11.78439203
172,-14.74287177,-14.74287312,-14.71180716,-14.70334091,-14.71756117,-14.68967991,-14.74285768,-Inf,-14.0490979,-14.0490979,-14.0490979,-11.65703307,-12.53176677,-12.53176677,-10.11668409,-10.11668409,-12.53513819,-6.686677714,-12,#NAME?,#NAME?,-11.75233676,-11.75233676,-11.75233676,-12.60052178,34.0387389
173,-6.580141888,-6.580282898,-6.533723966,-6.535615067,-6.528783703,-6.537496119,-6.579782321,-Inf,-5.872605151,-5.872605151,-5.872605151,-2.895640922,-3.779108857,-3.779108857,-1.928860026,-1.928860026,-3.819071051,-1.927787204,-12,#NAME?,#NAME?,-6.117925469,-6.117925469,-6.117925469,-4.417673537,2.131429886
174,14.71216258,14.71216007,14.69388073,14.69245143,14.69493388,14.68913663,14.71218782,Inf,14.22776525,14.22776525,14.22776525,11.64170097,12.70254945,12.70254945,10.05078578,10.05078578,12.8017758,6.616814301,12,Inf,38.28664815,11.90647308,11.90647308,11.90647308,12.73474679,23.15327567
175,-6.841846315,-6.842185506,-6.654461729,-6.639159071,-6.67275211,-6.619976138,-6.838939751,-Inf,-6.140365323,-6.140365323,-6.140365323,-3.366209556,-4.397831969,-4.397831969,-2.297451938,-2.297451938,-4.443335922,-2.147744648,-12,#NAME?,#NAME?,-6.286732726,-6.286732726,-6.286732726,-4.684479318,3.959796077
176,-13.65921764,-13.65921917,-13.62958712,-13.62739649,-13.63036238,-13.624005,-13.65919749,-Inf,-12.96690976,-12.96690976,-12.96690976,-10.54860309,-11.42565836,-11.42565836,-9.00944051,-9.00944051,-11.45066993,-5.696887845,-12,#NAME?,#NAME?,-10.99794449,-10.99794449,-10.99794449,-11.51532327,23.36888699
177,-13.86572862,-13.8657287,-13.77190191,-13.76689388,-13.77562577,-13.75928053,-13.86572795,-Inf,-13.17937589,-13.17937589,-13.17937589,-10.70441871,-11.5953959,-11.5953959,-9.183144288,-9.183144288,-11.48496408,-5.849349705,-12,#NAME?,#NAME?,-11.14600709,-11.14600709,-11.14600709,-11.73218103,19.63199659
178,13.18900387,13.18899309,13.18722114,13.18300642,13.18898188,13.16660395,13.18907421,Inf,12.70551789,12.70551789,12.70551789,10.15349637,11.23120222,11.23120222,8.577325887,8.577325887,11.29254334,5.324167619,12,Inf,36.68142438,10.85324155,10.85324155,10.85324155,11.21515294,32.22976802
179,-12.09169988,-12.09169956,-12.03456649,-12.02891302,-12.04072647,-12.01696849,-12.09170246,-Inf,-11.39972368,-11.39972368,-11.39972368,-8.969996358,-9.857622299,-9.857622299,-7.450476489,-7.450476489,-9.833726086,-4.505134925,-12,#NAME?,#NAME?,-9.91719984,-9.91719984,-9.91719984,-9.956188366,21.40548966
180,5.164424965,5.164726273,5.035620978,5.032462511,5.039206011,5.027106977,5.162615172,Inf,4.629137934,4.629137934,4.629137934,2.247568824,2.987757231,2.987757231,1.144037638,1.144037638,3.039825311,1.536145062,12,Inf,28.56609912,5.274967803,5.274967803,5.274967803,3.140246238,2.115184485
181,-2.945508972,-2.945304505,-2.94529114,-2.945290019,-2.945278941,-2.945291855,-2.951705185,-Inf,-2.056761529,-2.056761529,-2.056761529,-0.848125,-1.184497754,-1.184497754,-0.354284168,-0.354284168,-1.228455742,-0.961538594,-12,#NAME?,#NAME?,-3.480237745,-3.480237745,-3.480237745,-0.704595621,2.701637481
182,-7.936969841,-7.936970472,-7.685828302,-7.68365036,-7.68847895,-7.680378535,-7.936975156,-Inf,-7.238479175,-7.238479175,-7.238479175,-4.08373496,-5.090895583,-5.090895583,-2.992967835,-2.992967835,-5.162776971,-2.350044433,-12,#NAME?,#NAME?,-7.05723175,-7.05723175,-7.05723175,-5.78637415,2.843319074
183,2.369801028,2.35544577,1.985138175,1.975049918,1.990472375,1.960871085,2.370532524,Inf,1.58735454,1.58735454,1.58735454,0.457411351,0.953414407,0.953414407,0.216635475,0.216635475,0.931716297,0.438538117,12,Inf,0,3.20203839,3.20203839,3.20203839,0.978357201,0.629064795
184,12.2247266,12.22473655,12.12862191,12.11951387,12.13813649,12.10437893,12.22464624,Inf,11.74101705,11.74101705,11.74101705,9.096475765,10.20315403,10.20315403,7.537238788,7.537238788,10.15770349,4.561793126,12,Inf,35.69641202,10.18145062,10.18145062,10.18145062,10.25001039,16.44960047
185,-12.17074772,-12.17074255,-11.67590871,-11.67669253,-11.67529407,-11.67720737,-12.17066647,-Inf,-11.46266815,-11.46266815,-11.46266815,-8.492013901,-9.383891209,-9.383891209,-7.003432781,-7.003432781,-9.4162695,-4.291422365,-12,#NAME?,#NAME?,-9.97720462,-9.97720462,-9.97720462,-10.01030703,6.619480913
186,-10.50434191,-10.50433361,-10.41835575,-10.41802425,-10.41808786,-10.41752123,-10.50431882,-Inf,-9.794867151,-9.794867151,-9.794867151,-6.855718023,-7.841624039,-7.841624039,-5.45626439,-5.45626439,-7.910565096,-3.437615111,-12,#NAME?,#NAME?,-8.818559699,-8.818559699,-8.818559699,-8.344869051,5.419730581
187,3.016760732,3.014857817,2.675105503,2.685079346,2.656559023,2.699817957,3.023582633,Inf,2.322399675,2.322399675,2.322399675,0.604363596,1.12200112,1.12200112,0.297564603,0.297564603,1.216655669,0.544307092,12,Inf,0,3.712021991,3.712021991,3.712021991,1.299744442,0.733454705
188,9.615524109,9.615533108,7.970256801,8.017643733,7.913939244,8.082456275,9.615352791,Inf,9.098578237,9.098578237,9.098578237,4.856393033,5.713342683,5.713342683,3.364938983,3.364938983,5.594099214,2.528431688,12,Inf,30.95715106,8.374942449,8.374942449,8.374942449,7.610631531,1.945907585
189,-16.49323886,-16.4932388,-16.42041469,-16.43032708,-16.40897616,-16.4451613,-16.49323794,-Inf,-15.81016669,-15.81016669,-15.81016669,-13.31807667,-14.1270694,-14.1270694,-11.71862913,-11.71862913,-13.97756482,-8.275653123,-12,#NAME?,#NAME?,-12.96833851,-12.96833851,-12.96833851,-14.36167298,16.78226577
