,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
99,2.03E-14,5.26E-17,2.96E-18,1.57E-18,4.26E-18,3.57E-19,6.48E-10,5.47E-07,1.02E-12,1.02E-12,1.02E-12,2.88E-12,1.13E-16,1.23E-16,1.24E-10,1.44E-10,7.26E-18,9.18E-15,1.17E-11,0.000162349,0,6.62E-17,3.49E-17,1.37E-16,0.04640318,2.147761351
100,0.000151098,7.81E-06,7.38E-05,8.45E-05,6.63E-05,9.43E-05,0.000160263,0.014969832,0.070162776,0.070162776,0.070162776,0.002248378,3.07E-05,3.17E-05,0.00257518,0.002574649,1.16E-05,0.001056677,6.76E-05,0.002063903,0.02388,4.03E-07,2.53E-07,2.16E-07,0.233059485,0.728933133
101,9.42E-114,6.32E-116,1.51E-143,8.07E-173,2.38E-120,1.54E-241,7.13E-21,3.99E-61,1.85E-103,1.85E-103,1.85E-103,1.21E-40,6.06E-43,6.93E-43,1.67E-37,1.45E-38,6.17E-44,2.85E-40,0,0,0,2.12E-37,1.92E-37,3.13E-37,0,16.0025005
102,0.000144242,8.97E-06,3.24E-05,3.69E-05,2.93E-05,4.03E-05,0.000175203,0.020246823,0.075701516,0.075701516,0.075701516,0.001578004,3.25E-05,3.35E-05,0.001696657,0.001693761,3.54E-05,0.000947519,7.56E-05,0.00238342,0.03995,5.52E-07,3.59E-07,2.98E-07,0.236254409,0.753195118
103,1.01E-137,3.15E-146,4.06E-185,1.08E-231,5.82E-153,0,1.24E-21,4.29E-69,5.64E-119,5.64E-119,5.64E-119,2.22E-45,1.19E-46,1.39E-46,2.15E-39,1.66E-40,2.23E-47,1.13E-40,0,0,0,1.18E-38,3.72E-39,6.59E-39,9.44E-15,18.13179258
104,2.87E-07,1.57E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.28E-08,0.005684541,2.81E-05,2.81E-05,2.81E-05,9.54E-22,3.71E-19,4.59E-19,2.06E-17,2.34E-17,3.75E-20,1.23E-27,2.14E-07,0.000962003,0,5.50E-27,1.17E-22,1.47E-21,0.17368033,4.398050313
105,5.63E-124,1.79E-131,6.68E-159,1.54E-187,3.18E-136,4.76E-256,4.58E-21,2.99E-67,7.35E-112,7.35E-112,7.35E-112,9.38E-44,1.97E-44,2.26E-44,1.86E-37,1.98E-38,8.33E-44,2.74E-39,0,0,0,2.93E-37,9.28E-38,8.04E-38,5.22E-15,15.18396995
106,7.03E-51,2.74E-49,9.74E-58,2.77E-63,7.15E-52,5.03E-72,2.54E-15,4.46E-37,1.69E-52,1.69E-52,1.69E-52,3.25E-26,9.08E-31,9.97E-31,1.84E-23,2.07E-23,8.70E-32,3.69E-33,0,0,0,2.49E-27,1.34E-27,2.03E-27,0,6.127668842
107,0.015830372,0.001035545,0.001045583,0.001045678,0.001044651,0.001045423,0.00102246,0.239945734,0.430425781,0.430425781,0.430425781,0.00349769,1.93E-05,2.00E-05,0.003714094,0.003505523,2.90E-05,0.002738809,0.041102001,0.011215889,0.26232,6.81E-07,8.31E-07,9.05E-07,0.457124117,0.708614734
108,4.00E-215,6.39E-224,2.69E-281,3.48E-298,6.24E-267,0,1.40E-21,5.68E-85,2.22E-147,2.22E-147,2.22E-147,6.59E-46,1.07E-45,1.17E-45,2.46E-41,6.68E-42,4.59E-46,2.57E-38,0,0,0,4.44E-37,5.78E-39,3.05E-39,0,17.63879285
109,4.21E-06,6.57E-07,6.49E-07,6.48E-07,6.46E-07,6.49E-07,6.18E-07,0.020021429,0.00073949,0.00073949,0.00073949,8.40E-26,5.74E-14,6.88E-14,3.15E-21,3.09E-21,3.31E-14,2.65E-29,1.14E-05,0.001390328,0,2.98E-35,6.72E-24,1.07E-22,0.209565328,7.619026959
110,6.14E-27,9.69E-28,1.45E-28,8.32E-28,1.06E-29,5.63E-27,6.50E-10,7.06E-18,6.64E-30,6.64E-30,6.64E-30,3.84E-14,1.36E-18,1.57E-18,6.08E-11,6.98E-11,4.87E-19,4.87E-19,1.25E-13,0,0,1.41E-16,2.05E-17,1.93E-17,1.67E-15,2.346125807
111,9.29E-10,8.54E-11,1.70E-07,1.66E-07,1.77E-07,1.59E-07,2.12E-05,0.01351088,3.41E-05,3.41E-05,3.41E-05,2.11E-05,1.69E-07,1.77E-07,0.002642657,0.002678489,6.13E-08,1.71E-13,2.65E-07,0.000264249,0,3.63E-08,1.33E-08,1.38E-08,0.04759337,NA
112,1.39E-30,1.24E-33,6.60E-36,5.49E-39,5.46E-33,3.10E-45,1.07E-12,1.38E-20,2.69E-31,2.69E-31,2.69E-31,1.19E-19,4.79E-22,5.16E-22,1.26E-16,2.37E-16,6.53E-25,1.22E-25,1.24E-16,4.66E-05,0,2.72E-22,7.77E-23,4.19E-22,1.67E-15,3.54909073
113,1.98E-181,4.16E-195,5.77E-251,1.50E-299,1.01E-210,0,2.43E-23,2.55E-75,4.83E-135,4.83E-135,4.83E-135,2.26E-48,1.73E-48,2.02E-48,4.77E-42,3.48E-43,9.09E-50,2.84E-42,0,0,0,7.54E-42,2.07E-42,1.13E-42,2.22E-16,20.57964071
114,3.64E-54,9.62E-52,8.61E-62,9.36E-70,2.56E-54,1.18E-83,7.82E-16,8.15E-38,1.98E-55,1.98E-55,1.98E-55,5.20E-31,1.94E-31,2.14E-31,2.02E-24,2.15E-24,1.90E-33,4.99E-34,0,0,0,5.12E-29,4.97E-29,9.15E-29,0,6.522525406
115,8.47E-73,1.21E-74,4.12E-83,1.29E-83,1.03E-82,1.65E-84,9.46E-16,5.62E-61,1.20E-78,1.20E-78,1.20E-78,3.12E-29,4.45E-32,5.80E-32,1.52E-25,9.18E-26,4.94E-34,1.41E-29,0,0,0,5.97E-27,3.65E-28,2.53E-28,0,6.724382855
116,7.31E-148,1.90E-155,4.50E-193,5.47E-244,3.57E-158,0,6.47E-23,7.58E-69,1.10E-121,1.10E-121,1.10E-121,5.88E-48,2.87E-47,3.40E-47,1.55E-40,7.79E-42,4.12E-48,4.79E-43,0,0,0,1.71E-41,3.14E-41,7.60E-41,8.88E-16,19.9221852
117,1.36E-59,4.13E-56,6.13E-67,2.79E-71,1.15E-62,2.07E-77,1.47E-15,2.68E-48,3.76E-64,3.76E-64,3.76E-64,2.19E-27,4.39E-32,4.84E-32,1.24E-24,8.68E-25,1.15E-33,7.43E-32,0,0,0,5.11E-28,1.48E-28,8.43E-29,2.22E-16,6.578892867
118,3.85E-159,2.30E-169,1.38E-207,2.95E-237,3.08E-182,1.45E-304,3.26E-22,1.14E-70,1.67E-124,1.67E-124,1.67E-124,7.05E-43,2.13E-44,2.37E-44,8.00E-40,8.76E-41,2.64E-44,1.35E-40,0,0,0,7.23E-39,9.77E-40,4.54E-40,3.00E-15,17.49687212
